Color Analysis with 20 saturation intervals (rows) and 6 hue intervals (cols)
328040,12087,2359,7608,13491,2405,
4170,5226,6617,4805,7748,1049,
2599,5470,6707,2044,4225,609,
2278,7112,5045,1212,4782,434,
2030,7191,5870,708,4452,334,
1535,7562,6877,520,2726,313,
983,8812,8115,348,2042,275,
677,14165,7266,200,1815,272,
549,18597,5977,198,1856,249,
352,38383,5444,130,1554,232,
359,177427,2567,268,1149,215,
240,202892,700,180,842,133,
222,265963,267,121,941,77,
233,163801,153,185,1590,50,
93,20036,104,33,1233,23,
63,6003,237,52,354,24,
60,2741,208,48,55,5,
40,2199,361,20,28,2,
7,1128,202,6,24,3,
7637,3044,6391,577,5337,604,
